,SKU,keyword,Category,Mapped keyword
494,Kids' Dru Logo Hoodie,"[""kids'"", 'dru', 'logo', 'hoodie']","Sweaters, Hoodies, Sweatshirts",hoodie
495,Mono Puffer Jacket,"['mono', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
496,The Jordie Super High Waist Straight Leg Jeans,"['the', 'jordie', 'super', 'high', 'waist', 'straight', 'leg', 'jeans']",Bottoms,jeans
497,Abdre Arizona Linen Button-Up Shirt,"['abdre', 'arizona', 'linen', 'button-up', 'shirt']",Shirts and Tops,shirt
498,Krys-R Graphic Logo Hoodie,"['krys-r', 'graphic', 'logo', 'hoodie']","Sweaters, Hoodies, Sweatshirts",hoodie
499,Water Repellent Quilted Sweater Fleece Jacket,"['water', 'repellent', 'quilted', 'sweater', 'fleece', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
500,Waterproof Moss Raincoat,"['waterproof', 'moss', 'raincoat']",Rainwear,raincoat
501,Men's Columbia Orange Clemson Tigers Collegiate PFG Flex Hat,"['men', 'columbia', 'orange', 'clemson', 'tigers', 'collegiate', 'pfg', 'flex', 'hat']",Headwear and Neckwear,hat
502,Grasmoor Crewneck Wool Blend Sweater,"['grasmoor', 'crewneck', 'wool', 'blend', 'sweater']","Sweaters, Hoodies, Sweatshirts",sweater
503,Kids' Littles Class V Brimmer Hat,"[""kids'"", 'littles', 'class', 'v', 'brimmer', 'hat']",Headwear and Neckwear,hat
504,Margot Stripe Trim Cotton & Cashmere Cardigan,"['margot', 'stripe', 'trim', 'cotton', '&', 'cashmere', 'cardigan']",,NA
505,Otterburn Vest,"['otterburn', 'vest']",Vests,vest
506,Kids' Gordon Lyons Varsity Vest Jacket,"[""kids'"", 'gordon', 'lyons', 'varsity', 'vest', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
507,Crew Waterproof Jacket,"['crew', 'waterproof', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
508,Kane Puffer Vest,"['kane', 'puffer', 'vest']","Jackets, Coats, Parkas, and Bombers",puffer
509,Bobbie Water Repellent Quilted Down Vest,"['bobbie', 'water', 'repellent', 'quilted', 'down', 'vest']",Vests,vest
510,Powderbugâ„¢ Plus II Waterproof Snow Boot,"['powderbuga', 'plus', 'ii', 'waterproof', 'snow', 'boot']",Footwear,boot
511,Peril Glacier Microfleece Track Jacket,"['peril', 'glacier', 'microfleece', 'track', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
512,New York Loro Piana Wool Field Jacket,"['new', 'york', 'loro', 'piana', 'wool', 'field', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
513,Protection Waterproof Hooded Jacket,"['protection', 'waterproof', 'hooded', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
514,Gent High Waist Straight Leg Jeans,"['gent', 'high', 'waist', 'straight', 'leg', 'jeans']",Bottoms,jeans
515,"Girl's Bady Fur-Trim Puffer Jacket, Size 8-14","['girl', 'bady', 'fur-trim', 'puffer', 'jacket', 'size', '8-14']","Jackets, Coats, Parkas, and Bombers",puffer
516,"Boy's Aubert Quilted Jacket, Size 12M-3","['boy', 'aubert', 'quilted', 'jacket', 'size', '12m-3']","Jackets, Coats, Parkas, and Bombers",jacket
517,"Kid's Sherwood Hooded Puffer Jacket, Size S-L","['kid', 'sherwood', 'hooded', 'puffer', 'jacket', 'size', 's-l']","Jackets, Coats, Parkas, and Bombers",puffer
518,"Girl's Odile Quilted Ruffle Jacket, Size 12M-3","['girl', 'odile', 'quilted', 'ruffle', 'jacket', 'size', '12m-3']","Jackets, Coats, Parkas, and Bombers",jacket
519,"Girl's Ghany Shiny Quilted Puffer Vest, Size 8-25","['girl', 'ghany', 'shiny', 'quilted', 'puffer', 'vest', 'size', '8-25']","Jackets, Coats, Parkas, and Bombers",puffer
520,"Boy's Byron Quilted Fur Hooded Jacket, Size 8-14","['boy', 'byron', 'quilted', 'fur', 'hooded', 'jacket', 'size', '8-14']","Jackets, Coats, Parkas, and Bombers",jacket
521,"Fur-Trimmed Hooded Quilted Puffer Jacket, Size 12M-3","['fur-trimmed', 'hooded', 'quilted', 'puffer', 'jacket', 'size', '12m-3']","Jackets, Coats, Parkas, and Bombers",puffer
522,"Girl's Bady Quilted Logo Jacket, Size 8-14","['girl', 'bady', 'quilted', 'logo', 'jacket', 'size', '8-14']","Jackets, Coats, Parkas, and Bombers",jacket
523,"Kid's Water-Resistant Detachable Hooded Coat, Size XXS-XL","['kid', 'water-resistant', 'detachable', 'hooded', 'coat', 'size', 'xxs-xl']","Jackets, Coats, Parkas, and Bombers",coat
524,"Boy's TIb Logo Quilted Vest, Size 4-6","['boy', 'tib', 'logo', 'quilted', 'vest', 'size', '4-6']",Vests,vest
525,"Kids' Thermoball Eco Puffer Jacket, Sizes XXS-XL","[""kids'"", 'thermoball', 'eco', 'puffer', 'jacket', 'sizes', 'xxs-xl']","Jackets, Coats, Parkas, and Bombers",puffer
526,"Kid's Grizzly Hooded Snowsuit, Size 2-7","['kid', 'grizzly', 'hooded', 'snowsuit', 'size', '2-7']","Sweaters, Hoodies, Sweatshirts",hooded
